x,y,z
-0.9593228,4.499664,0.0015
-0.9846998,4.498585,0.0015
-0.9571645,4.44891,0.0015
-0.9825415,4.447831,0.0015
-0.9636394,4.601172,0.0015
-0.9890165,4.600093,0.0015
-0.9614811,4.550418,0.0015
-0.9868581,4.549339,0.0015
-0.967956,4.702681,0.0015
-0.9933331,4.701602,0.0015
-0.9657977,4.651927,0.0015
-0.9911748,4.650847,0.0015
-0.980294,4.805113,0.0015
-1.005249,4.800382,0.0015
-0.9708312,4.755202,0.0015
-0.9957867,4.750471,0.0015
-0.9992194,4.904935,0.0015
-1.024175,4.900204,0.0015
-0.9897567,4.855024,0.0015
-1.014712,4.850293,0.0015
-1.018145,5.004757,0.0015
-1.0431,5.000026,0.0015
-1.008682,4.954846,0.0015
-1.033638,4.950115,0.0015
-1.049845,5.10354,0.0015
-1.073227,5.093618,0.0015
-1.030001,5.056776,0.0015
-1.053382,5.046854,0.0015
-1.089534,5.197067,0.0015
-1.112915,5.187145,0.0015
-1.069689,5.150304,0.0015
-1.093071,5.140382,0.0015
-1.129222,5.290595,0.0015
-1.152604,5.280673,0.0015
-1.109378,5.243831,0.0015
-1.13276,5.233909,0.0015
-1.178375,5.381414,0.0015
-1.199961,5.368028,0.0015
-1.151602,5.338242,0.0015
-1.173188,5.324855,0.0015
-1.231921,5.467759,0.0015
-1.253507,5.454372,0.0015
-1.205148,5.424586,0.0015
-1.226734,5.4112,0.0015
-1.285467,5.554103,0.0015
-1.307053,5.540717,0.0015
-1.258694,5.510931,0.0015
-1.28028,5.497544,0.0015
-1.346315,5.637136,0.0015
-1.36617,5.621294,0.0015
-1.314632,5.597427,0.0015
-1.334486,5.581585,0.0015
-1.409682,5.716554,0.0015
-1.429536,5.700712,0.0015
-1.377999,5.676845,0.0015
-1.397853,5.661003,0.0015
-1.473049,5.795972,0.0015
-1.492903,5.78013,0.0015
-1.441365,5.756263,0.0015
-1.46122,5.740421,0.0015
-1.543347,5.871124,0.0015
-1.56127,5.853125,0.0015
-1.50735,5.83528,0.0015
-1.525272,5.817281,0.0015
-1.615342,5.942813,0.0015
-1.633264,5.924814,0.0015
-1.579345,5.906969,0.0015
-1.597267,5.88897,0.0015
-1.687337,6.014502,0.0015
-1.705259,5.996504,0.0015
-1.651339,5.978658,0.0015
-1.669262,5.960659,0.0015
-1.764743,6.081965,0.0015
-1.780943,6.062401,0.0015
-1.725616,6.049565,0.0015
-1.741816,6.030002,0.0015
-1.842997,6.146764,0.0015
-1.859197,6.1272,0.0015
-1.80387,6.114364,0.0015
-1.82007,6.094801,0.0015
-1.921251,6.211562,0.0015
-1.93745,6.191999,0.0015
-1.882124,6.179163,0.0015
-1.898324,6.159599,0.0015
-2.004773,6.271321,0.0015
-2.019089,6.25034,0.0015
-1.962811,6.24269,0.0015
-1.977126,6.221708,0.0015
-2.088699,6.328584,0.0015
-2.103015,6.307603,0.0015
-2.046736,6.299953,0.0015
-2.061052,6.278972,0.0015
-2.172624,6.385848,0.0015
-2.18694,6.364866,0.0015
-2.130662,6.357216,0.0015
-2.144977,6.336235,0.0015
-2.2629,6.435473,0.0015
-2.274577,6.412916,0.0015
-2.217786,6.412119,0.0015
-2.229463,6.389562,0.0015
-2.353127,6.48218,0.0015
-2.364804,6.459623,0.0015
-2.308013,6.458826,0.0015
-2.31969,6.436269,0.0015
-2.443355,6.528887,0.0015
-2.455031,6.50633,0.0015
-2.398241,6.505534,0.0015
-2.409918,6.482977,0.0015
-2.539049,6.567009,0.0015
-2.547969,6.543227,0.0015
-2.491485,6.549168,0.0015
-2.500405,6.525386,0.0015
-2.634177,6.602691,0.0015
-2.643097,6.578909,0.0015
-2.586613,6.58485,0.0015
-2.595533,6.561068,0.0015
-2.729305,6.638373,0.0015
-2.738225,6.614591,0.0015
-2.681741,6.620532,0.0015
-2.690661,6.59675,0.0015
-2.830476,6.66045,0.0015
-2.83533,6.635518,0.0015
-2.780612,6.650743,0.0015
-2.785466,6.625811,0.0015
-2.930204,6.679864,0.0015
-2.935057,6.654932,0.0015
-2.88034,6.670157,0.0015
-2.885193,6.645225,0.0015
-3.029932,6.699278,0.0015
-3.034785,6.674346,0.0015
-2.980068,6.689571,0.0015
-2.984921,6.664639,0.0015
-3.133452,6.703495,0.0015
-3.134083,6.678103,0.0015
-3.082668,6.702233,0.0015
-3.083299,6.676841,0.0015
-3.235021,6.706021,0.0015
-3.235652,6.680629,0.0015
-3.184236,6.704758,0.0015
-3.184868,6.679366,0.0015
-3.336589,6.708547,0.0015
-3.337221,6.683155,0.0015
-3.285805,6.707284,0.0015
-3.286436,6.681892,0.0015
-3.438902,6.705153,0.0015
-3.437977,6.67977,0.0015
-3.388136,6.707004,0.0015
-3.38721,6.68162,0.0015
-3.540434,6.701453,0.0015
-3.539509,6.676069,0.0015
-3.489668,6.703303,0.0015
-3.488743,6.67792,0.0015
-3.641967,6.697752,0.0015
-3.641042,6.672369,0.0015
-3.591201,6.699602,0.0015
-3.590276,6.674219,0.0015
-3.743363,6.695451,0.0015
-3.742793,6.670057,0.0015
-3.692576,6.696591,0.0015
-3.692006,6.671198,0.0015
-3.844938,6.69317,0.0015
-3.844367,6.667776,0.0015
-3.79415,6.69431,0.0015
-3.79358,6.668917,0.0015
-3.946513,6.690885,0.0015
-3.945941,6.665492,0.0015
-3.895726,6.692029,0.0015
-3.895154,6.666636,0.0015
-4.048111,6.688365,0.0015
-4.047481,6.662973,0.0015
-3.997326,6.689625,0.0015
-3.996696,6.664233,0.0015
-4.149679,6.685846,0.0015
-4.149049,6.660454,0.0015
-4.098895,6.687105,0.0015
-4.098265,6.661713,0.0015
-4.251248,6.683328,0.0015
-4.250619,6.657936,0.0015
-4.200463,6.684586,0.0015
-4.199834,6.659194,0.0015
-4.352813,6.680849,0.0015
-4.352193,6.655457,0.0015
-4.302028,6.682089,0.0015
-4.301408,6.656696,0.0015
-4.454383,6.67837,0.0015
-4.453763,6.652977,0.0015
-4.403598,6.679609,0.0015
-4.402978,6.654217,0.0015
-4.555952,6.67589,0.0015
-4.555332,6.650497,0.0015
-4.505168,6.67713,0.0015
-4.504547,6.651738,0.0015
-4.657523,6.673404,0.0015
-4.656901,6.648012,0.0015
-4.606738,6.674647,0.0015
-4.606116,6.649255,0.0015
-4.759092,6.670918,0.0015
-4.758471,6.645526,0.0015
-4.708307,6.672161,0.0015
-4.707686,6.646769,0.0015
-4.860662,6.668432,0.0015
-4.86004,6.64304,0.0015
-4.809877,6.669675,0.0015
-4.809256,6.644283,0.0015
-4.962231,6.665947,0.0015
-4.96161,6.640555,0.0015
-4.911447,6.66719,0.0015
-4.910825,6.641797,0.0015
-5.063801,6.663462,0.0015
-5.06318,6.638069,0.0015
-5.013016,6.664704,0.0015
-5.012395,6.639312,0.0015
-5.16537,6.660977,0.0015
-5.164749,6.635584,0.0015
-5.114586,6.662219,0.0015
-5.113965,6.636827,0.0015
-5.26694,6.658494,0.0015
-5.266319,6.633102,0.0015
-5.216155,6.659736,0.0015
-5.215534,6.634343,0.0015
-5.36851,6.656012,0.0015
-5.367889,6.630619,0.0015
-5.317725,6.657253,0.0015
-5.317104,6.63186,0.0015
-5.47008,6.653526,0.0015
-5.469458,6.628133,0.0015
-5.419295,6.65477,0.0015
-5.418673,6.629378,0.0015
-5.571651,6.651026,0.0015
-5.571026,6.625634,0.0015
-5.520866,6.652276,0.0015
-5.520241,6.626884,0.0015
-5.67322,6.648526,0.0015
-5.672595,6.623134,0.0015
-5.622435,6.649776,0.0015
-5.62181,6.624384,0.0015
-5.774784,6.646049,0.0015
-5.77417,6.620656,0.0015
-5.723999,6.647276,0.0015
-5.723385,6.621884,0.0015
-5.876349,6.64365,0.0015
-5.875749,6.618257,0.0015
-5.825563,6.644849,0.0015
-5.824963,6.619456,0.0015
-5.97792,6.641251,0.0015
-5.977321,6.615858,0.0015
-5.927135,6.64245,0.0015
-5.926535,6.617057,0.0015
-6.079525,6.638702,0.0015
-6.078851,6.613311,0.0015
-6.028743,6.64005,0.0015
-6.028069,6.614659,0.0015
-6.181118,6.635712,0.0015
-6.180371,6.610323,0.0015
-6.13034,6.637206,0.0015
-6.129593,6.611817,0.0015
-6.282674,6.632724,0.0015
-6.281927,6.607335,0.0015
-6.231896,6.634218,0.0015
-6.231149,6.608829,0.0015
-6.383995,6.630728,0.0015
-6.383742,6.60533,0.0015
-6.333205,6.631234,0.0015
-6.332952,6.605836,0.0015
-6.485411,6.631179,0.0015
-6.485524,6.605779,0.0015
-6.434612,6.630954,0.0015
-6.434724,6.605554,0.0015
-6.58701,6.631628,0.0015
-6.587123,6.606228,0.0015
-6.536211,6.631403,0.0015
-6.536323,6.606004,0.0015
-6.689467,6.627257,0.0015
-6.687189,6.601959,0.0015
-6.639005,6.631802,0.0015
-6.636727,6.606504,0.0015
-6.790695,6.612403,0.0015
-6.787002,6.587273,0.0015
-6.740434,6.619788,0.0015
-6.736742,6.594658,0.0015
-6.891215,6.597633,0.0015
-6.887523,6.572503,0.0015
-6.840955,6.605018,0.0015
-6.837262,6.579888,0.0015
-6.991907,6.580158,0.0015
